title,diameter,closeness,clustering,betweenness,edit count,editor count,article size,class
Antbird,22,0.15308206172349556,0.07146389220689164,0.03279781812390508,586,184,44957,FA
"Gilbert du Motier, Marquis de Lafayette",44,0.09496646981933006,0.03398904599853804,0.005090385110642087,5460,2056,106193,FA
John Knox,42,0.12116247500693678,0.051633394145926596,0.00811727121263602,2851,990,64493,FA
Grey currawong,16,0.16356340649639392,0.059983696200582554,0.06308483909220058,351,89,38068,FA
Francis Poulenc,43,0.10853456677599704,0.05062121941488773,0.01777077744541469,1190,508,88783,FA
Walt Disney,44,0.11345221474896618,0.04287562195089358,0.0026736282285638067,7651,3130,105060,FA
Adrian Boult,33,0.15000393100462944,0.0936984445602619,0.030738507338630025,731,214,57146,FA
Battle of Rossbach,51,0.07075509602583957,0.04381876727612591,0.07929867131932161,712,183,60901,FA
Fin whale,26,0.135271241034058,0.057873314165787386,0.009851079684796335,1763,696,115314,FA
Alben W. Barkley,51,0.08509742451209198,0.043036093128259,0.022015140079499094,1169,548,100114,FA
Virginia,36,0.1640105679567197,0.0910839191717128,0.0014224478501251693,10785,3954,228376,FA
Ine of Wessex,21,0.15041408339895745,0.054041373645153115,0.03766606280193237,569,162,34639,FA
"John Churchill, 1st Duke of Marlborough",26,0.13013682384831354,0.05199695682415721,0.01103727620462396,1365,648,102521,FA
Michigan State University,37,0.13460994691939904,0.05369232294464351,0.003279352488208674,4877,2102,160369,FA
Coenwulf of Mercia,20,0.1349632616045898,0.045949126626272874,0.04606921673076994,459,149,41680,FA
Rust in Peace,49,0.09083103370133679,0.03865154643525263,0.01299386473511338,1761,816,39173,GA
Independence Day (1996 film),63,0.09920393524603492,0.051461323721369474,0.003992707274945378,5633,2560,66277,GA
Leif Erikson,38,0.13663888047948675,0.03179765271499117,0.0023121077509922565,6326,2956,25935,GA
Winona Ryder,45,0.10095066263091618,0.037918104095506264,0.004400347353977804,4489,2199,72587,GA
Boron,33,0.1362545185875448,0.037412934004336804,0.0043735615306572185,3342,1559,94603,GA
Cheetah,51,0.1330856612146711,0.057552577392261946,0.0025455572991269462,6752,2831,159339,GA
Deseret alphabet,46,0.07917132957865,0.04021225984661264,0.046063273709259105,555,274,67296,GA
Heraclius,31,0.11278887287579085,0.04124060459631394,0.011867494060523676,1574,717,51942,GA
Third Amendment to the United States Constitution,65,0.09450383226950276,0.02045386318934862,0.01185874928119204,1670,916,17294,GA
JFK (film),61,0.09055066077828647,0.03488685075901548,0.011223606345293676,1842,995,58318,GA
Chaim Topol,82,0.041433057006360935,0.01252509511231339,0.0668023004569579,598,369,34494,GA
Batman & Robin (film),37,0.12092521204955295,0.053284441668563096,0.0036000394638103545,4789,2196,55045,GA
Reinhard Heydrich,47,0.12881994895763987,0.09553861246005071,0.004471878874641554,4235,1679,77637,GA
Roberto Baggio,39,0.1002794272161552,0.06867368201337945,0.009681890955625367,2841,1010,216431,GA
Tungsten,40,0.12598205380456087,0.0334761581078633,0.004547622705802857,3106,1656,68922,GA
Climate,39,0.13103043191354238,0.016492412222047448,0.003960225264117857,3564,1788,41306,GA
Aage Bohr,64,0.058626645582765965,0.013999952386698813,0.062060929091074024,445,284,21934,GA
Agriculture,38,0.11782202179603009,0.02578889118300373,0.0022355665695786226,7196,3550,145233,GA
12 Monkeys,37,0.1235766222489639,0.06118553370095579,0.007516527759432689,2094,1059,39584,GA
Kochi,37,0.15114418208558547,0.10196116216512732,0.003317246485718695,6337,1835,174134,GA
Islands of the Clyde,31,0.11999586427558039,0.09407373728467874,0.08658225832138876,321,92,38150,GA
KFC,47,0.11554017091916505,0.05447282754198028,0.0033055261446502224,8095,2548,122650,GA
Freddie Mercury,43,0.14498838026655972,0.05394542897478134,0.0011686438951803442,14294,5401,132342,GA
The Wild Bunch,58,0.07646270932264902,0.026473111199167253,0.025403087519811067,1045,527,42219,GA
Jean Sibelius,28,0.12535585713829814,0.03557982152818848,0.009596499873578293,2165,778,96398,GA
Hair (musical),42,0.16776830748497168,0.15690964759275638,0.005982281169098858,3526,983,187107,GA
Ayn Rand,25,0.19133239081769615,0.15514992627194418,0.001390451799580936,11928,3249,92945,GA
Mumbai,33,0.17320009423836655,0.1071328404494433,0.0012519131660054027,12301,4065,243792,GA
Treblinka extermination camp,42,0.12005138871629704,0.061435929909843805,0.007009600785719289,4224,1158,149384,GA
Anne Boleyn,49,0.13318044682315233,0.05483444347453156,0.002538632597894702,6612,2848,99078,GA
Eva Perón,60,0.11371314929212956,0.04227735906763454,0.004503037522984483,4684,1928,86272,GA
Einherjar,52,0.05891354277309613,0.032587733079873706,0.06566984917360448,398,259,18241,GA
George McGovern,50,0.12009248191123655,0.05503998660724395,0.008311594427717102,2470,979,182521,GA
Liquid crystal,71,0.07598364146316809,0.03335257999362713,0.024856599380544974,1037,563,83093,GA
